Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
16299,And Then There Were None,Agatha Christie,"Christie, Agatha",,312330871,9.78031E+12,3,4.28,St. Martin's Press,Paperback,264,2004,1939,,4/23/2020,,,read,,,,1,0
49628,Cloud Atlas,David Mitchell,"Mitchell, David",,375507256,9.78038E+12,3,4.01,Random House,Paperback,509,2004,2004,,4/23/2020,,,read,,,,1,0
18007564,The Martian,Andy Weir,"Weir, Andy",,804139024,9.7808E+12,4,4.41,Crown,Hardcover,384,2014,2011,,4/23/2020,,,read,,,,1,0
68429,"The Well of Ascension (Mistborn, #2)",Brandon Sanderson,"Sanderson, Brandon",,765316889,9.78077E+12,4,4.38,Tor Books,Hardcover,590,2007,2007,,4/23/2020,,,read,,,,1,0
2767793,"The Hero of Ages (Mistborn, #3)",Brandon Sanderson,"Sanderson, Brandon",,765316897,9.78077E+12,4,4.51,Tor Books,Hardcover,572,2008,2008,,4/23/2020,,,read,,,,1,0
68428,"The Final Empire (Mistborn, #1)",Brandon Sanderson,"Sanderson, Brandon",,,9.78077E+12,4,4.47,Tor Books,Hardcover,541,2006,2006,,4/23/2020,,,read,,,,1,0
186074,"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,"Rothfuss, Patrick",,075640407X,9.78076E+12,5,4.52,Penguin Group DAW,Hardcover,662,2007,2007,,2/28/2019,,,read,,,,1,0
28170940,"Lethal White (Cormoran Strike, #4)",Robert Galbraith,"Galbraith, Robert",,751572853,9.78075E+12,3,4.24,Sphere,Hardcover,650,2018,2018,,4/23/2020,,,read,,,,1,0
25735012,"Career of Evil (Cormoran Strike, #3)",Robert Galbraith,"Galbraith, Robert",,316349933,9.78032E+12,3,4.21,Mulholland Books,Hardcover,512,2015,2015,,4/23/2020,,,read,,,,1,0
18214414,"The Silkworm (Cormoran Strike, #2)",Robert Galbraith,"Galbraith, Robert",,316206873,9.78032E+12,3,4.04,Mulholland Books,Hardcover,464,2014,2014,,4/23/2020,,,read,,,,1,0
16160797,"The Cuckoo's Calling (Cormoran Strike, #1)",Robert Galbraith,"Galbraith, Robert",,316206849,9.78032E+12,3,3.88,Mulholland Books,Hardcover,456,2013,2013,,4/23/2020,,,read,,,,1,0
15881,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,,,4,4.43,Arthur A. Levine Books,Hardcover,341,1999,1998,,4/23/2020,,,read,,,,1,0
136251,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,"Rowling, J.K.",,,,5,4.62,Arthur A. Levine Books,Hardcover,759,2007,2007,,4/23/2020,,,read,,,,1,0
29056083,"Harry Potter and the Cursed Child: Parts One and Two (Harry Potter, #8)",John Tiffany,"Tiffany, John","Jack Thorne, J.K. Rowling",,,2,3.52,"Little, Brown",Hardcover,343,2016,2016,,4/23/2020,,,read,,,,1,0
2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,,,3,4.5,Scholastic Inc.,Paperback,912,2004,2003,,4/23/2020,,,read,,,,1,0
1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,"Rowling, J.K.",,,,4,4.58,Scholastic Inc.,Paperback,652,2006,2005,,4/23/2020,,,read,,,,1,0
6,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,"Rowling, J.K.","Mary GrandPré, Jim Kay",,,5,4.57,Scholastic,Paperback,734,2002,2000,,4/23/2020,,,read,,,,1,0
5,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,043965548X,9.78044E+12,5,4.58,Scholastic Inc.,Mass Market Paperback,435,2004,1999,,4/23/2020,,,read,,,,1,0
149267,The Stand,Stephen King,"King, Stephen",Bernie Wrightson,,,4,4.34,Doubleday Books,Hardcover,1152,1990,1978,,4/23/2020,,,read,,,,1,0
